protein,mean_orig,mean_ko,diff
PSMA4,0.011964842,0.26500672,0.2530419
HMBS,0.011188609,0.26424798,0.2530594
BRINP2,0.10238768,0.35551074,0.25312304
ITPR2,0.061549377,0.31469104,0.25314167
KRT84,-0.06592778,0.18737133,0.25329912
RELA,-0.020325322,0.23337486,0.2537002
EFHD2,0.014544764,0.2682583,0.25371355
RWDD3,-0.08658921,0.16752316,0.25411236
C15orf62,-0.07553816,0.17859869,0.25413686
INTS5,-0.14366683,0.110600606,0.25426745
POC1B,0.16893564,0.42331976,0.2543841
NEO1,0.006976001,0.26137856,0.25440255
HABP4,0.024054427,0.2785959,0.25454146
PHLDA1,-0.040071715,0.21463358,0.2547053
TRADD,0.011437184,0.26615855,0.25472137
WASHC4,0.052167747,0.3069682,0.25480047
MIEF1,-0.11083377,0.144002,0.25483578
LYRM7,-0.004112676,0.25083023,0.2549429
GMFG,-0.16344562,0.09155008,0.2549957
RAB7B,0.1059867,0.36108664,0.25509995
ASCC1,-0.041300274,0.21382782,0.2551281
VMA21,-0.005360409,0.2498063,0.2551667
PRR11,0.09309035,0.34835842,0.25526807
POMP,-0.09092672,0.16493964,0.25586635
SRI,-0.06855331,0.18752751,0.2560808
UHRF1BP1,-0.04194527,0.214283,0.25622827
AKAP8L,-0.17163935,0.084702276,0.25634164
APC2,0.0504139,0.30675578,0.25634187
PSMB7,0.061606236,0.31808072,0.2564745
ADGB,-0.037650954,0.21884185,0.2564928
KRT15,0.038431667,0.2949751,0.25654343
MRPL53,0.014395176,0.27101505,0.25661987
TRIM21,0.13176873,0.38880908,0.25704035
LDHA,-0.015095244,0.24251865,0.2576139
MMP24OS,0.002662403,0.26040268,0.2577403
CFAP47,0.09105887,0.34901297,0.2579541
MCL1,-0.06153551,0.1964529,0.25798842
QSER1,0.063400194,0.32149884,0.25809866
OXNAD1,0.020909859,0.27906114,0.2581513
NDRG3,-0.026332712,0.23199001,0.25832272
FAM3C,0.034049187,0.2925514,0.25850222
