,protein,mean_orig,mean_ko,diff,p_value
2194,DERA,0.13330185,-0.00337827,-0.13668013,0.13852099124011755
2195,WDR75,-0.034090057,-0.17076354,-0.13667348,0.12265967496239524
2196,MAPK13,-0.03949543,-0.17607938,-0.13658395,0.13169085115969498
2197,CEBPE,-0.040890895,-0.17739788,-0.13650697,0.11748262696774757
2198,SCEL,0.118960686,-0.017537925,-0.13649862,0.12443200551062482
2199,TRIM24,-0.07416698,-0.21040504,-0.13623805,0.12046473347297713
2200,MAZ,-0.20660524,-0.3427589,-0.13615365,0.11444306193512249
2201,TMEM30A,0.06878639,-0.06729406,-0.13608044,0.14299965614357252
2202,DSP,0.04072743,-0.09523808,-0.13596551,0.13406420506988723
2203,NOMO1,-0.02105451,-0.15696567,-0.13591117,0.1214743704931682
2204,PER1,0.053828236,-0.08207058,-0.13589881,0.13992143375154428
2205,DERL1,0.15106454,0.015190564,-0.13587397,0.11504017145659276
2206,KANK2,0.10550072,-0.030318905,-0.13581963,0.1440119976354674
2207,ABL2,0.019703573,-0.11594473,-0.1356483,0.12143286545261729
2208,TACC2,0.05845376,-0.077121645,-0.13557541,0.11490941521313171
2209,C1QBP,-0.054363247,-0.18987972,-0.13551646,0.1263505866741358
2210,RPL35,0.067186765,-0.06815829,-0.13534506,0.15203941964815154
2211,GTF2I,-0.13676623,-0.27200657,-0.13524035,0.124889860237988
2212,TMA7,-0.05308492,-0.18831901,-0.13523409,0.122101519973164
2213,DNPEP,-0.0022746702,-0.13723375,-0.13495907,0.18037350754477668
2214,MRPS25,0.05946271,-0.07529841,-0.13476112,0.11293854921884375
2215,LUC7L2,-0.12425227,-0.25900087,-0.13474861,0.11825853217698931
2216,VTA1,-0.056962796,-0.19168414,-0.13472134,0.14306460854592332
2217,ABLIM3,0.08326401,-0.05140114,-0.13466515,0.12888947772309278
2218,APOM,-0.11860937,-0.2532179,-0.13460854,0.0630507598001124
2219,EIF4E2,0.0028929925,-0.13149774,-0.13439073,0.1454581644423362
2220,LCLAT1,0.15208091,0.017747348,-0.13433357,0.09698047505974688
2221,SHMT1,-0.02350783,-0.15771072,-0.13420288,0.14459421845203818
2222,FADS2,-0.06146568,-0.19557111,-0.13410543,0.10476170779945249
2223,DGLUCY,-0.0057835686,-0.13987155,-0.13408798,0.11143605236264835
2224,NDUFAF7,-0.058577746,-0.19264235,-0.1340646,0.11098009066298367
2225,TTI2,-0.13022888,-0.26427606,-0.13404718,0.0970374394026014
2226,TBC1D24,-0.03214418,-0.16606288,-0.1339187,0.09344651604394823
2227,DCAF6,0.056836683,-0.07641672,-0.13325341,0.13826254539829336
2228,NDUFB8,-0.020703675,-0.15395641,-0.13325274,0.11442838360232457
2229,STX10,0.049625546,-0.083621554,-0.1332471,0.11873085330657035
