,protein,mean_orig,mean_ko,diff,p_value
2927,TMED1,0.024642944,-0.037977435,-0.06262038,0.45699271435217537
2928,GNG8,-0.0632492,-0.12582666,-0.062577456,0.46358474512940817
2929,SMG5,-0.02093195,-0.08339497,-0.062463015,0.487105324160069
2930,CDC42BPB,0.17133953,0.108938344,-0.062401183,0.5136116258752976
2931,ATP5MG,-0.06506146,-0.12697767,-0.06191621,0.49352092469553677
2932,NDUFB3,0.039036334,-0.022642914,-0.061679248,0.4668456006610582
2933,EDF1,-0.057018667,-0.118353456,-0.06133479,0.5366995875452354
2934,OGDHL,0.03615626,-0.025006609,-0.061162867,0.48167560578354607
2935,UBL7,0.023624506,-0.037504118,-0.061128624,0.49616356592096544
2936,SLC12A2,0.08276561,0.021637421,-0.061128188,0.4927917081797426
2937,ALK,0.032470517,-0.028444704,-0.06091522,0.4812221926090622
2938,NELFCD,-0.12154151,-0.18242373,-0.06088222,0.49810694784282505
2939,RRP7A,0.0044531343,-0.056414902,-0.060868036,0.5049139645720448
2940,B3GALT6,0.0052002477,-0.055627614,-0.060827862,0.4778164697496875
2941,GLMP,-0.0017992877,-0.06261545,-0.060816158,0.4872913143893538
2942,VWA5B2,-0.049334824,-0.11000135,-0.060666524,0.47088559284313236
2943,ARMC1,-0.06572115,-0.1263626,-0.06064146,0.49451480431766204
2944,HCCS,-0.003350923,-0.06389827,-0.060547348,0.4746244707183016
2945,BAIAP2,0.11127776,0.050822906,-0.060454853,0.4873174759363684
2946,EXOC6B,0.06255459,0.0021306933,-0.060423896,0.459053680377121
2947,MTO1,0.016358476,-0.043894958,-0.060253434,0.4901411676502647
2948,NUP153,-0.06691454,-0.12714139,-0.060226843,0.46487986747716326
2949,PBK,-0.055652846,-0.115834884,-0.06018204,0.4986898167835634
2950,CHCHD2,-0.007991586,-0.06812546,-0.06013387,0.5050557281219027
2951,IFIT3,-0.013788384,-0.07391892,-0.060130533,0.49458060984851226
2952,TUBGCP3,-0.027780985,-0.08788186,-0.060100876,0.45223205977027203
2953,SCAP,-0.09664399,-0.15666197,-0.06001798,0.45439308486460495
2954,MTHFD1L,-0.010115349,-0.06998059,-0.059865244,0.533831193225464
2955,RYBP,-0.0487931,-0.10857632,-0.05978322,0.4836703022657528
2956,STK39,-0.0019842032,-0.061732862,-0.059748657,0.48166499712556976
2957,TAS2R13,-0.020879224,-0.08058515,-0.059705928,0.49330512465882026
2958,RPL7,0.06651361,0.0068230503,-0.05969056,0.555489396935783
2959,PKN1,-0.06836067,-0.12799044,-0.059629768,0.5161551681439671
2960,DIP2A,-0.020195378,-0.07978775,-0.059592374,0.4675535158062337
2961,SNX8,0.1306709,0.071369916,-0.05930099,0.506343177686067
2962,DDX21,-0.056314506,-0.11560577,-0.059291266,0.5336960610759451
2963,FAM50A,0.14865336,0.089446254,-0.059207104,0.49440091913978523
2964,UBE2L3,0.052832194,-0.0063324575,-0.05916465,0.5110471513641843
2965,CBFB,-0.07797358,-0.13713196,-0.059158377,0.5029571573724502
2966,ITGB2,-0.04641155,-0.105388425,-0.058976874,0.49480625002275314
2967,RPA1,-0.14613871,-0.20487869,-0.058739975,0.5100841720919571
2968,LAMA1,-0.105749674,-0.16444355,-0.05869388,0.5072354796860676
2969,SLC12A7,0.06276792,0.0043294365,-0.058438487,0.5410626451884233
2970,COG1,0.11549255,0.05711037,-0.058382183,0.5060716064804471
2971,ERLIN2,0.05738312,-0.000910323,-0.058293443,0.5106968481691756
2972,IVNS1ABP,0.055437673,-0.0028007417,-0.058238413,0.5299312114991963
2973,MRPS30,0.043220777,-0.014921145,-0.05814192,0.4811805293690329
2974,ARSA,0.13077061,0.072819576,-0.057951033,0.5222966473980631
2975,CEP57,-0.10677399,-0.16464546,-0.057871476,0.44713869358116176
2976,L1RE1,0.0046358416,-0.05322298,-0.05785882,0.4925246807407947
2977,UBAP2,0.03575636,-0.02208767,-0.05784403,0.5075377097712286
2978,SPINT1,0.058164172,0.00041469184,-0.05774948,0.5572635909908683
2979,GPR179,0.021274362,-0.036377594,-0.057651956,0.5273478570312442
2980,MAGT1,0.016351538,-0.04124771,-0.057599247,0.5239406668516253
2981,ELAPOR1,0.03614003,-0.02137968,-0.057519708,0.5279484839546242
2982,ZFP91,-0.05530514,-0.11273033,-0.057425193,0.5236935977547639
2983,PRPF39,-0.12314286,-0.18041983,-0.05727697,0.45567734428357276
2984,MRPS27,0.006136419,-0.051043823,-0.05718024,0.5280773379073054
2985,DHRS7,0.08750164,0.030329052,-0.057172585,0.5417579188301669
2986,AKAP9,-0.020218104,-0.07734466,-0.05712656,0.5334536859251765
2987,NCAPD2,0.030173229,-0.02694383,-0.05711706,0.4876636688331266
2988,FMN1,0.008195981,-0.048801426,-0.056997407,0.46649161814013995
2989,TMEM259,-0.077663444,-0.13458383,-0.056920387,0.49417722770572814
2990,MTPAP,-0.06446149,-0.121357925,-0.056896433,0.4906393612698401
2991,RBPMS,0.031713553,-0.02514942,-0.056862973,0.5337218883527566
2992,MRPS14,0.0082555,-0.04859592,-0.05685142,0.49433678466389475
2993,PRRC2A,0.012811152,-0.04391777,-0.05672892,0.5302046166182768
2994,USE1,0.0366099,-0.020117102,-0.056727,0.5487738724144136
2995,CEP295NL,-0.042498592,-0.09913682,-0.05663823,0.49338546817996143
2996,COPS7A,0.084904894,0.028459888,-0.056445006,0.5392173695693074
2997,TRIM27,-0.08846217,-0.14490148,-0.056439318,0.5402544330354917
2998,LAMA2,-0.015384051,-0.07179146,-0.05640741,0.5428223078105765
2999,GNB2,0.013900347,-0.04238343,-0.056283776,0.5286004704456486
3000,RAD9A,-0.06439279,-0.12061526,-0.05622247,0.4807237103653853
3001,PHF6,-0.11638627,-0.17259338,-0.056207113,0.5270666530080899
3002,BRIX1,0.028965628,-0.027226089,-0.056191716,0.5271293893326088
3003,SDHA,0.01543152,-0.040742345,-0.056173865,0.5233594853535036
3004,COX6B1,0.0063317656,-0.04970533,-0.056037094,0.5374959208984211
3005,KNTC1,-0.06756404,-0.123364285,-0.055800244,0.509198632722605
3006,EEF1AKNMT,0.028914694,-0.026673315,-0.055588007,0.5393803315361317
3007,MAP1A,0.071252555,0.01576418,-0.055488374,0.5305075212495585
3008,TRMT1,-0.048492324,-0.10377265,-0.055280324,0.5258161560043138
3009,IL16,-0.040274736,-0.09555371,-0.055278976,0.5350810205683965
3010,MRPS16,-0.040244594,-0.09546106,-0.05521647,0.5323189348990419
3011,GPAA1,0.0863419,0.031299192,-0.05504271,0.5450767786836711
3012,PER3,0.1337033,0.0786644,-0.055038907,0.5479429549594947
3013,SLAIN2,-0.013139604,-0.068178505,-0.0550389,0.5498161508038237
3014,ZKSCAN2,0.014026995,-0.04091757,-0.054944567,0.5714861708657075
3015,PPP1R9A,0.008677341,-0.046240535,-0.054917876,0.5190556898860117
3016,HINT1,-0.03420075,-0.08908379,-0.05488304,0.5689309101926514
3017,TGOLN2,0.14473203,0.09000092,-0.05473111,0.5119312171547692
3018,RPS25,0.044613604,-0.009972746,-0.05458635,0.5775660393175671
3019,PECR,-0.0330175,-0.08759139,-0.054573886,0.545313507847343
3020,LAMC1,0.052241575,-0.0022246065,-0.05446618,0.5403464256298787
3021,CDKAL1,0.0028829002,-0.05155083,-0.054433733,0.48073513181390193
3022,RRP1B,-0.16952708,-0.22390461,-0.054377526,0.534416124070282
3023,GLCCI1,-0.07974466,-0.1339382,-0.054193534,0.5125961517290999
3024,ERAP1,0.006345898,-0.047839317,-0.054185215,0.5213177646187557
3025,LDHB,-0.11139387,-0.16554216,-0.054148287,0.5781951308340572
3026,SMPDL3B,0.038764406,-0.015287374,-0.05405178,0.5972019535693247
3027,NUDT16,0.020931294,-0.03304172,-0.05397301,0.5403148731803664
3028,SARNP,-0.05490712,-0.1088755,-0.053968377,0.5367705358771943
3029,UBE2R2,0.0028787116,-0.051060095,-0.053938806,0.5250685133639545
3030,PIGG,-0.025590593,-0.079424664,-0.053834073,0.5490111268914002
3031,ZNF622,0.058767654,0.0049916813,-0.053775974,0.5523776870833627
3032,MRPL40,0.082306005,0.0285372,-0.053768806,0.5773245396346991
3033,FAH,-0.021964775,-0.075674325,-0.05370955,0.5677809983203969
3034,CORO1C,0.060029045,0.0063255904,-0.053703453,0.5904845540042126
3035,S100A16,0.10977084,0.05616657,-0.05360427,0.5741439288654429
3036,GCA,0.018881861,-0.03469121,-0.053573072,0.555731281873574
3037,CLU,0.0039762026,-0.049331717,-0.05330792,0.5775919962637776
3038,CDA,0.0130000785,-0.040253714,-0.053253792,0.5542532097709265
3039,HAUS3,-0.031564552,-0.084801294,-0.05323674,0.5256760264233029
3040,TMEM120A,0.104711354,0.05152315,-0.053188205,0.5729834818184114
3041,SMAD5,-0.0397746,-0.09292317,-0.05314857,0.5365657088218387
3042,NCBP2AS2,0.0013168175,-0.051793493,-0.05311031,0.5661013779284603
3043,TAF15,0.015066138,-0.037909027,-0.052975163,0.5303656541138921
3044,ESRP2,0.11014458,0.057315,-0.05282958,0.6000876169511259
3045,ATP5PB,-0.06922801,-0.12194044,-0.052712433,0.554731822162065
3046,ENOPH1,-0.09000674,-0.14242795,-0.052421212,0.5592891241306324
3047,MRPL13,0.11197424,0.059700474,-0.052273765,0.5346907677032462
3048,POLR2H,-0.1584183,-0.21013355,-0.051715255,0.5601191831466672
3049,NYX,-0.0020409077,-0.05360877,-0.051567864,0.5755336900044304
3050,ADAR,-0.082220085,-0.13369891,-0.051478826,0.5666719246329736
3051,RETREG3,0.07479314,0.023384528,-0.05140861,0.5279474315453347
3052,OLA1,0.026983509,-0.024414526,-0.051398035,0.5812700680580096
3053,SCG2,-0.001802336,-0.05318761,-0.051385272,0.5791749948054469
3054,ARMC8,0.07458622,0.023209663,-0.05137656,0.5689778210037393
3055,NELFE,-0.0048922403,-0.056145683,-0.05125344,0.5585229764834293
3056,CAPRIN1,-0.0133753745,-0.06454068,-0.0511653,0.6055917679413416
3057,TST,0.023590244,-0.027556457,-0.0511467,0.5731890912766866
3058,POLR3F,0.17297298,0.121859655,-0.051113322,0.5491352262147535
3059,CROT,0.050736513,-0.0003421498,-0.051078662,0.606076628696586
3060,C16orf91,0.030591933,-0.020392846,-0.050984778,0.5819545676689588
3061,PHLDB1,0.09156839,0.040760886,-0.050807502,0.5741626814614048
3062,NUCB1,0.08926788,0.038472477,-0.050795402,0.5480396316990475
3063,PAICS,-0.08989404,-0.1406796,-0.050785556,0.5808829949698735
3064,CTNNA2,0.09943739,0.048760027,-0.050677367,0.5957880926438253
3065,CLSTN1,-0.0025866532,-0.053143945,-0.050557293,0.5468374306170332
3066,PXDN,0.08283516,0.032439984,-0.050395176,0.5816628706988811
3067,MAP3K7,0.036095764,-0.014292918,-0.050388683,0.5573473247301307
3068,OSBPL5,0.13311134,0.082861915,-0.050249428,0.5907522704394355
3069,ANKLE1,0.013851367,-0.036384407,-0.050235774,0.5520990311988014
3070,AP1G1,0.061452888,0.011287012,-0.050165877,0.6091056634152499
3071,WDR26,0.036250133,-0.013695879,-0.04994601,0.5974379472656658
3072,GDF15,0.05993127,0.009987234,-0.049944036,0.5847696016294077
3073,LYAR,-0.15808125,-0.20801118,-0.04992993,0.6001621153495527
3074,ATAD3B,-0.009527083,-0.05933319,-0.049806107,0.5505795073770466
3075,POLR3C,-0.074646264,-0.12437698,-0.049730718,0.5699647690884205
3076,ETFDH,-0.000570491,-0.050248854,-0.049678363,0.624308776388206
3077,SLFN11,0.0856343,0.035987616,-0.049646683,0.5607867742017054
3078,ATP5PF,-0.0404462,-0.08992844,-0.04948224,0.5873771285878007
3079,KIF13A,0.062036984,0.012670242,-0.049366742,0.5639177361644421
3080,CSTF1,0.00087243685,-0.048368268,-0.049240705,0.5927730336362746
3081,CDH1,0.120706014,0.07150963,-0.049196385,0.6297178690999587
3082,SETX,-0.014771394,-0.06394907,-0.049177676,0.6004837483379679
3083,ALKBH4,-0.08428969,-0.13344632,-0.04915663,0.5525141560671827
3084,ALYREF,-0.076921836,-0.12595811,-0.04903628,0.5923740823488597
3085,MSH3,0.0426624,-0.0063608065,-0.049023207,0.5568501969724656
3086,C7orf50,-0.035361033,-0.08431553,-0.048954498,0.5768231643234654
3087,DSC2,-0.006499786,-0.05503586,-0.048536073,0.620356472332239
3088,CC2D1B,0.06663301,0.018214796,-0.048418213,0.573702224609798
3089,APOA1,0.039756995,-0.008643427,-0.04840042,0.6278263569042373
3090,DUSP12,-0.09387259,-0.1421908,-0.048318207,0.5616424983318322
3091,LPGAT1,0.011173568,-0.037077453,-0.04825102,0.5704877685476267
3092,TTC7A,-0.021567151,-0.0697341,-0.048166946,0.5795684417819758
3093,ATP6V1E1,-0.00044349118,-0.048285447,-0.047841955,0.6229601258547255
3094,KPNA3,-0.073572814,-0.12141421,-0.047841392,0.6234425193590172
3095,TOR1B,0.051882904,0.0041951234,-0.04768778,0.596626233480811
3096,RPN2,0.041814554,-0.0056085507,-0.047423106,0.5991945671527801
3097,POLA2,-0.09876835,-0.1461772,-0.04740885,0.6209230177401022
3098,ATP2B3,0.12655163,0.07938433,-0.0471673,0.5939613093760074
3099,LYPLA1,-0.07800589,-0.12514804,-0.047142155,0.5933376130719062
3100,USP33,0.09044853,0.04332077,-0.047127757,0.6096959106338489
3101,SMARCA2,-0.09944702,-0.14637978,-0.046932764,0.5705795174148043
3102,TTC5,-0.13237679,-0.17919114,-0.046814352,0.5946955238486797
3103,EXOSC10,0.025439937,-0.021122092,-0.04656203,0.6158969111618416
3104,MRPL45,0.10436789,0.058131445,-0.046236444,0.5820845254040126
3105,SYMPK,0.008962282,-0.037222777,-0.046185058,0.610675027199774
3106,RNF25,-0.023636082,-0.06977628,-0.0461402,0.60621122045489
3107,PLEKHA1,0.038086906,-0.008018429,-0.046105336,0.6117674852984282
3108,KIAA2013,0.04541475,-0.0005394077,-0.045954157,0.5971442824360558
3109,COX5B,0.01755004,-0.028387008,-0.045937046,0.6220676870699162
3110,SMIM8,-0.10039698,-0.14616618,-0.045769192,0.608829334369483
3111,EIF2B3,-0.06660385,-0.11227712,-0.045673274,0.6215674726783866
3112,GIT1,-0.023780977,-0.0693689,-0.04558792,0.6203082641638142
3113,PTPN23,0.025568347,-0.019994214,-0.04556256,0.5969583768748524
3114,MRPS17,0.009489489,-0.03602679,-0.04551628,0.6102023983987446
3115,VPS45,0.11259552,0.06713653,-0.045458987,0.5844357759080425
3116,ZFYVE16,0.09654628,0.05130209,-0.045244187,0.6466099323947017
3117,CHMP1B,-0.028593192,-0.07381461,-0.04522142,0.644093450851472
3118,TBC1D20,-0.074871205,-0.11983498,-0.044963777,0.6206881662031992
3119,SIRT1,-0.094594285,-0.13947627,-0.044881985,0.6157589225476621
3120,STX3,0.041076187,-0.0037707286,-0.044846915,0.6108915170115492
3121,SPG21,-0.014103375,-0.05887022,-0.044766843,0.6069748298707727
3122,TUT1,0.00038563288,-0.044356737,-0.044742372,0.5767872283251989
3123,PYGM,0.0014248873,-0.043004323,-0.04442921,0.616132551784998
3124,PACSIN2,0.059922565,0.01553076,-0.044391803,0.6457589197914783
3125,SPATA5,-0.005009115,-0.049361974,-0.04435286,0.6083357783111273
3126,PPP2R2A,-0.029620247,-0.07396377,-0.044343524,0.5979623490811996
3127,PSMB6,0.10615639,0.061854433,-0.044301953,0.6502374695146653
3128,MCM5,-0.07885526,-0.12314583,-0.044290572,0.6214389405466338
3129,GRK6,-0.13167503,-0.1759592,-0.044284165,0.5907210955500509
3130,LIMD2,-0.0506666,-0.09468218,-0.04401558,0.575223673522005
3131,PCSK6,-0.028739652,-0.07254714,-0.043807484,0.6410980326377044
3132,AUH,-0.0114251645,-0.05506212,-0.043636955,0.641903532039899
3133,MED28,0.011732926,-0.03156463,-0.043297555,0.6192118925534998
3134,SH3BP1,-0.10555052,-0.14842346,-0.042872943,0.6016655185993172
3135,WDR77,-0.04786013,-0.090711944,-0.042851813,0.6543931528812074
3136,PPT1,0.020097876,-0.02274138,-0.042839255,0.608936026729719
3137,MFGE8,-0.046530683,-0.08918944,-0.042658757,0.6231928226509695
3138,WASHC5,0.077385075,0.034751248,-0.042633828,0.6417700188557764
3139,NUP42,-0.11343971,-0.15606968,-0.042629972,0.6298643545290945
3140,TYSND1,0.008818672,-0.03349973,-0.0423184,0.6208414865564806
3141,SGSH,0.023989713,-0.018279122,-0.042268835,0.6378964102039935
3142,TRIM22,-0.023499351,-0.06566812,-0.04216877,0.6306335095938376
3143,PPOX,0.0018642728,-0.04022704,-0.042091314,0.6104339230869931
3144,VTN,-0.19546746,-0.23744589,-0.041978434,0.601189351813356
3145,ESD,-0.016387377,-0.05834441,-0.041957032,0.6411738017728112
3146,EMC6,-0.0885988,-0.13049626,-0.04189746,0.6431916432796398
3147,GABARAPL2,-0.12776504,-0.16965453,-0.04188949,0.6024810044981995
3148,DCP1B,-0.08432846,-0.12620674,-0.041878283,0.6128176968303234
3149,AP2M1,0.1231087,0.08124792,-0.04186078,0.6290527353459736
3150,LXN,-0.051173076,-0.092992984,-0.041819908,0.6515626002618388
3151,MRPS31,0.0012697574,-0.0404028,-0.041672558,0.6541721102321355
3152,RPL35A,0.07358746,0.03198556,-0.041601904,0.6631717580246934
3153,SGF29,-0.10843522,-0.14997672,-0.041541494,0.6325565246818649
3154,SLC7A5,0.024633251,-0.016686795,-0.04132005,0.6538405149821123
3155,GLDC,-0.017256448,-0.058562733,-0.041306287,0.6550996855952755
3156,SYAP1,0.069683485,0.028391374,-0.04129211,0.6520426148620255
3157,MAK16,-0.025339404,-0.06657093,-0.041231528,0.6603170348316649
3158,CDCA5,-0.030157212,-0.07129606,-0.041138846,0.6303518043433189
3159,DVL2,0.042119622,0.0010637848,-0.041055836,0.6351791771323245
3160,ARL8A,0.012369283,-0.028664168,-0.04103345,0.638504739832219
3161,C1orf174,-0.117420174,-0.15768746,-0.04026728,0.6451330976820279
3162,COG5,0.06832176,0.028164404,-0.040157355,0.6491020531450548
3163,QKI,0.096505284,0.056366093,-0.04013919,0.6605201453371565
3164,U2AF2,-0.11571272,-0.15583786,-0.040125147,0.6563230549829291
3165,ALG2,0.08512517,0.045151338,-0.039973833,0.6366743349508577
3166,POLG,-0.07739513,-0.11729146,-0.039896324,0.653214659989176
3167,ALDH1A3,0.045631953,0.0057666255,-0.039865326,0.6648993651969966
3168,COL17A1,-0.030810388,-0.07058753,-0.039777145,0.6211553281446788
3169,RPS16,0.039640453,-0.00012669533,-0.03976715,0.6914147878188769
3170,FH,-0.00910735,-0.048813723,-0.03970637,0.6469513118553092
3171,H1-1,0.020294711,-0.019261487,-0.039556198,0.6279978617457695
3172,TRAPPC8,0.020047307,-0.019203117,-0.039250426,0.6721508461382532
3173,PCYOX1,0.08214153,0.042937323,-0.03920421,0.6830039748420512
3174,STT3A,0.07443489,0.03528427,-0.03915062,0.6483008754777915
3175,RBM25,-0.093704104,-0.13274524,-0.03904113,0.6621676924017004
3176,DDX31,0.083339155,0.04439509,-0.038944066,0.6559306844770432
3177,ORC4,-0.0087427525,-0.047613665,-0.038870912,0.6582969685188612
3178,GALNT7,0.08369207,0.044884335,-0.03880773,0.6808247071546971
3179,AP2S1,0.09970244,0.06102246,-0.03867998,0.6671844715997926
3180,ACOX3,0.025513614,-0.01315669,-0.0386703,0.6727372893916271
3181,KIFC1,-0.08199818,-0.12062278,-0.0386246,0.6503170953103619
3182,WIPI2,-0.048302773,-0.086521514,-0.03821874,0.6394673843315206
3183,TBC1D13,0.041039716,0.0028296888,-0.038210027,0.6710633093402847
3184,USP47,0.13396898,0.09594254,-0.038026437,0.6755843203414141
3185,GFM2,0.01224703,-0.025722548,-0.037969578,0.6395862413508804
3186,CRK,0.10554249,0.06764467,-0.037897818,0.6902638385076127
3187,TM9SF1,0.02922354,-0.008535759,-0.0377593,0.6923659951013046
3188,EML6,-0.005033186,-0.04271305,-0.037679862,0.7117596487472999
3189,MACO1,0.08285518,0.045354232,-0.037500948,0.669283356086741
3190,RNF214,-0.02865987,-0.06614669,-0.037486814,0.6662609183578996
3191,MBD1,-0.07968113,-0.116866946,-0.037185818,0.6682481914281315
3192,WDR54,-0.04512685,-0.082249805,-0.037122954,0.6598519911657643
3193,CLPB,0.080466636,0.043376945,-0.03708969,0.6631471038323882
3194,GPX8,0.024761211,-0.012308693,-0.0370699,0.7016852875555977
3195,ARF6,0.044297125,0.007323796,-0.036973327,0.6757384659237029
3196,RPL18,0.026825774,-0.010035955,-0.03686173,0.7143866474521785
3197,IMMP2L,-0.009362163,-0.046053752,-0.03669159,0.6562674241407722
3198,GOLPH3,0.032152496,-0.0044885073,-0.036641,0.7008952200993339
3199,MRPS9,0.023103517,-0.013504681,-0.036608197,0.6647471002344192
3200,TRIP11,0.14261255,0.10600786,-0.036604688,0.6843083491077121
3201,ALDH1B1,0.010680828,-0.025907306,-0.036588132,0.681745330984292
3202,UQCRC2,0.025601665,-0.010810128,-0.036411792,0.6873789184011057
3203,FAIM,-0.090806864,-0.12701955,-0.03621269,0.6568231805147657
3204,SCNM1,0.11829226,0.08208527,-0.03620699,0.7092094642125
3205,TIMM17B,-0.035308417,-0.07146681,-0.036158394,0.6768606324099022
3206,GADD45GIP1,0.09297258,0.056837503,-0.036135074,0.6623897262742342
3207,ANKRD28,-0.106496885,-0.14253132,-0.036034435,0.6802711620770607
3208,IFT88,-0.00986791,-0.045885853,-0.036017943,0.6839158806254677
3209,DNAJC11,-0.035430167,-0.071216255,-0.03578609,0.6631873584220194
3210,PPL,0.11788178,0.082143664,-0.035738118,0.6944654770250281
3211,RNF185,-0.033942226,-0.069654495,-0.03571227,0.6727057323853847
3212,PEX1,-0.02779443,-0.06347339,-0.03567896,0.7022884755197796
3213,MVD,-0.003170065,-0.0386393,-0.035469234,0.6766197844343974
3214,BCR,0.013413513,-0.021773785,-0.035187297,0.702398707298777
3215,LSM4,-0.08254215,-0.11755628,-0.03501413,0.6837235215997228
3216,NT5C3B,-0.008603731,-0.043528248,-0.034924515,0.6842399892982229
3217,DNAJC13,0.009538527,-0.025385762,-0.034924287,0.7045030667401035
3218,PLXDC2,0.030627482,-0.0042432784,-0.03487076,0.6926486034814208
3219,CD74,-0.006100958,-0.040783547,-0.034682587,0.6897023238785425
3220,IPO11,0.031239564,-0.0034047086,-0.034644272,0.7101278740933494
3221,GALNT6,0.09612737,0.06204418,-0.034083188,0.7205716574487167
3222,PDP1,0.11423339,0.08015299,-0.0340804,0.6810252075671732
3223,PXN,0.14383988,0.109813124,-0.034026757,0.7018384992364244
3224,MRPS18A,0.07871724,0.044742785,-0.033974454,0.6986385427454126
3225,OXA1L,0.034233015,0.00027063506,-0.03396238,0.6934953338602236
3226,PRDX1,0.0004390881,-0.033507515,-0.033946604,0.7429484341062527
3227,WDR43,-0.022216244,-0.05611882,-0.033902578,0.7068966707166557
3228,ATP5PO,-0.09714823,-0.13095555,-0.033807315,0.7187852831683887
3229,KIF14,0.046194382,0.012514359,-0.03368002,0.7244573894092525
3230,NIFK,-0.030576508,-0.06422529,-0.033648785,0.7254568893790144
3231,GOLGA4,0.061139997,0.0275225,-0.033617496,0.6899600465193938
3232,MYCBP,-0.0762802,-0.10982249,-0.03354229,0.7438635435377934
3233,TTC37,-0.05829394,-0.0918045,-0.03351056,0.7088010255873101
3234,C9orf64,0.01749146,-0.015964018,-0.033455476,0.7027916285431353
3235,LACTB,0.044466395,0.011038866,-0.03342753,0.7143750060915945
3236,SHROOM3,-0.00866619,-0.04179839,-0.0331322,0.7115638368516908
3237,ZMYM2,0.012171748,-0.020940362,-0.03311211,0.7186873782650018
3238,MGAT5,0.13494134,0.10199843,-0.032942906,0.7190529307000295
3239,CWF19L2,0.029833086,-0.0030472053,-0.03288029,0.6990138341527548
3240,IRAK1,0.03343778,0.0006037411,-0.03283404,0.7147869317063503
3241,TUBGCP2,-0.09920497,-0.13203715,-0.032832175,0.7233139935657515
3242,PPP2R5C,-0.01462459,-0.047409862,-0.032785274,0.7077269259004928
3243,ACTR5,-0.13134158,-0.16400458,-0.032663003,0.7076421499252143
3244,CST3,0.122651905,0.09018036,-0.032471545,0.7239001153307989
3245,SRP14,-0.08354124,-0.11586477,-0.03232353,0.703762250159208
3246,CDKN2C,-0.06562274,-0.09781084,-0.032188103,0.7196268436120685
3247,ARFGEF3,0.03662217,0.004477742,-0.032144427,0.7325596763535414
3248,NHS,-0.075003676,-0.10713126,-0.03212758,0.6808521067351254
3249,GLOD4,-0.05958048,-0.09167869,-0.032098208,0.7240217872582461
3250,CCT6B,-0.07187424,-0.10385877,-0.03198453,0.7399026442565227
3251,WDR11,0.08088076,0.04894774,-0.03193302,0.7259859821848413
3252,SMURF1,0.1657282,0.13406472,-0.031663477,0.7225760774957553
3253,MRPS22,0.012545839,-0.019108953,-0.03165479,0.7181317664209301
3254,IRAK4,-0.008989268,-0.040400993,-0.031411726,0.724693562622529
3255,RUSF1,0.016499452,-0.0147238085,-0.03122326,0.7387840001096297
3256,DENND4C,-0.06155623,-0.09271956,-0.031163331,0.7165897291315068
3257,MPC2,0.050123326,0.019050498,-0.031072829,0.7171814376521324
3258,CLP1,-0.13194743,-0.16294426,-0.03099683,0.7246433689318176
3259,CERT1,0.016759846,-0.014220851,-0.030980697,0.7344422638633321
3260,USP7,-0.043584205,-0.074395806,-0.0308116,0.7118960437816111
3261,SHQ1,0.16211975,0.13133638,-0.03078337,0.7307471022066498
3262,LGALS3,0.084899016,0.05418216,-0.030716855,0.7489050031226052
3263,DNAH6,-0.031844556,-0.06252993,-0.030685373,0.7338895354129047
3264,INPP1,0.056190703,0.025584696,-0.030606007,0.73359824171079
3265,UGDH,0.070904896,0.04035671,-0.030548185,0.740214441947078
3266,AMOTL1,-0.0027137648,-0.03325295,-0.030539187,0.7080179548003847
3267,RAB12,0.054604504,0.024100857,-0.030503647,0.7156344841612565
3268,TNPO3,-0.060516726,-0.09100212,-0.030485395,0.7344567589191537
3269,CPSF3,-0.03675651,-0.0671835,-0.03042699,0.7299832251554547
3270,CYBRD1,0.1125623,0.082196444,-0.030365855,0.7514131820674832
3271,FKRP,0.09244044,0.062135197,-0.030305244,0.7422288879220322
3272,ITGB3,-0.01570392,-0.0458712,-0.030167278,0.7456895008498494
3273,C2CD5,-0.06235957,-0.09245714,-0.030097567,0.7246577808847154
3274,ATP5F1B,-0.10044841,-0.130498,-0.0300496,0.746629306185731
3275,HIKESHI,-0.064868174,-0.094862774,-0.0299946,0.7353480058837948
3276,RPS5,-0.019424736,-0.04940848,-0.029983744,0.7684923320709227
3277,GXYLT1,0.09897141,0.06914768,-0.029823728,0.7209947383431489
3278,NVL,-0.12020431,-0.14983727,-0.029632963,0.7492952484882764
3279,SPTBN1,0.07578439,0.04626887,-0.029515523,0.7366183355285594
3280,PWP1,0.010194426,-0.01919902,-0.029393446,0.752949711780342
3281,TMX1,0.01284124,-0.016540155,-0.029381394,0.7259830681600581
3282,TPX2,-0.029535387,-0.058818806,-0.02928342,0.7622585065583896
3283,RRM1,-0.06497363,-0.094142005,-0.029168375,0.7484721994381383
3284,RSBN1L,-0.10729798,-0.136352,-0.029054023,0.7158745331990398
3285,HIPK2,0.081155345,0.052101385,-0.02905396,0.759519223957835
3286,MARK2,-0.020044984,-0.049014796,-0.028969811,0.7448987671343439
3287,RPRD2,-0.053713016,-0.08267751,-0.028964497,0.7381722194816387
3288,IAH1,0.11505939,0.086250916,-0.028808475,0.74001243510407
3289,RCN2,0.0570566,0.02829523,-0.028761368,0.7336964491837983
3290,POGLUT3,0.11177026,0.0830413,-0.028728954,0.7308235864538297
3291,PDE10A,0.01439569,-0.014315131,-0.02871082,0.7314301629612111
3292,DDX27,0.036415186,0.007815311,-0.028599875,0.7509515355888738
3293,PDF,-0.02737023,-0.0559171,-0.02854687,0.7435572243005413
